05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Length of the URL: [50]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Returning from getEndpointAddr: [0]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | EndPoint requested: [PostRulesData]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Length of the URL: [50]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | URL found [https://genuine.adobe.com/server/services/check/v1]
05/21/19 13:47:46:407 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Returning from getEndpointAddr: [0]
05/21/19 13:47:46:407 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 98296 | Fetching server URL from dispatch table
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | (re)load Local Dispatch Table status-[0].
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Scope : [2]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Setting scope to GM
05/21/19 13:47:46:408 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 98296 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | EndPoint requested: [ETSEndPoint]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Length of the URL: [48]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Returning from getEndpointAddr: [0]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | EndPoint requested: [ETSEndPoint]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Length of the URL: [48]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | URL found [https://na1e.services.adobe.com/hsmessaging/rest]
05/21/19 13:47:46:408 | [INFO] |  |  |  | DispatchClientLib |  |  | 98296 | Returning from getEndpointAddr: [0]
05/21/19 13:47:46:408 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 98296 | deleteServerDomainBlockedKeyFromCache 
05/21/19 13:47:46:419 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 98296 | deleteServerAliasBlockedKeyFromCache 
05/21/19 13:47:46:419 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Threaded CFU Started
05/21/19 13:47:46:419 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Update call started
05/21/19 13:47:46:419 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Suppress Update Flag = 0
05/21/19 13:47:46:419 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | GC Kill Switch = 0
05/21/19 13:47:46:420 | [ERROR] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Time flag read
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | LastUpdateCheckDurationPassed from cache 1558494683
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | LastUpdateCheckDurationPassed cached 1558494683 , curr 1558439266 res = 0
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Suppressing update check for this launch
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Update call ended
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | GCClient App not being downloaded
05/21/19 13:47:46:420 | [INFO] |  |  |  | AGSService |  |  | 98296 | Inside CheckCFU
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Threaded CFU Ended
05/21/19 13:47:46:420 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 98296 | Semaphore signalled
